date,sales,is_promotion
2021-08-14,363.45,0
2021-08-15,398.6,1
2021-08-16,242.35,0
2021-08-17,254.57,0
2021-08-18,242.8,0
2021-08-19,268.46,0
2021-08-20,305.66,0
2021-08-21,319.74,0
2021-08-22,336.19,0
2021-08-23,273.52,0
2021-08-24,275.43,0
2021-08-25,249.82,0
2021-08-26,248.03,0
2021-08-27,361.56,1
2021-08-28,324.07,0
2021-08-29,272.84,0
2021-08-30,257.19,0
2021-08-31,259.31,0
2021-09-01,255.07,0
2021-09-02,245.29,0
2021-09-03,288.58,0
2021-09-04,313.21,0
2021-09-05,296.4,0
2021-09-06,263.28,0
2021-09-07,269.59,0
2021-09-08,248.13,0
2021-09-09,244.86,0
2021-09-10,297.43,0
2021-09-11,319.18,0
2021-09-12,282.66,0
2021-09-13,260.18,0
2021-09-14,262.17,0
2021-09-15,266.0,0
2021-09-16,349.14,1
2021-09-17,271.92,0
2021-09-18,304.27,0
2021-09-19,283.37,0
2021-09-20,240.87,0
2021-09-21,231.75,0
2021-09-22,218.35,0
2021-09-23,241.17,0
2021-09-24,267.4,0
2021-09-25,299.36,0
2021-09-26,265.31,0
2021-09-27,280.0,1
2021-09-28,332.92,1
2021-09-29,236.95,0
2021-09-30,303.02,1
2021-10-01,305.8,0
2021-10-02,296.34,0
2021-10-03,278.62,0
2021-10-04,214.36,0
2021-10-05,210.4,0
2021-10-06,252.63,0
2021-10-07,214.22,0
2021-10-08,311.91,1
2021-10-09,285.88,0
2021-10-10,264.32,0
2021-10-11,211.35,0
2021-10-12,219.53,0
2021-10-13,241.77,0
2021-10-14,262.64,1
2021-10-15,240.9,0
2021-10-16,295.19,0
2021-10-17,267.69,0
2021-10-18,210.26,0
2021-10-19,256.5,1
2021-10-20,206.95,0
2021-10-21,216.59,0
2021-10-22,274.19,0
2021-10-23,260.47,0
2021-10-24,254.06,0
2021-10-25,224.79,0
2021-10-26,178.28,0
2021-10-27,228.85,0
2021-10-28,194.97,0
2021-10-29,257.06,0
2021-10-30,275.16,0
2021-10-31,267.12,0
2021-11-01,268.52,0
2021-11-02,224.01,0
2021-11-03,247.33,0
2021-11-04,260.61,0
2021-11-05,295.07,0
2021-11-06,324.63,0
2021-11-07,308.78,0
2021-11-08,265.56,0
2021-11-09,252.73,0
2021-11-10,227.77,0
2021-11-11,248.16,0
2021-11-12,300.79,0
2021-11-13,297.75,0
2021-11-14,303.15,0
2021-11-15,266.9,0
2021-11-16,254.78,0
2021-11-17,206.54,0
2021-11-18,232.96,0
2021-11-19,320.08,0
2021-11-20,303.25,0
2021-11-21,261.37,0
2021-11-22,269.36,0
2021-11-23,250.74,0
2021-11-24,266.84,0
2021-11-25,254.17,0
2021-11-26,296.66,0
2021-11-27,315.0,0
2021-11-28,299.81,0
2021-11-29,283.32,0
2021-11-30,263.55,0
2021-12-01,225.13,0
2021-12-02,255.4,0
2021-12-03,305.7,0
2021-12-04,326.51,0
2021-12-05,281.98,0
2021-12-06,265.79,0
2021-12-07,262.18,0
2021-12-08,286.81,0
2021-12-09,236.96,0
2021-12-10,280.6,0
2021-12-11,303.63,0
2021-12-12,280.91,0
2021-12-13,234.96,0
2021-12-14,206.94,0
2021-12-15,241.95,0
2021-12-16,254.12,0
2021-12-17,281.3,0
2021-12-18,337.87,0
2021-12-19,289.2,0
2021-12-20,268.55,0
2021-12-21,253.3,0
2021-12-22,261.99,0
2021-12-23,254.01,0
2021-12-24,310.6,0
2021-12-25,311.17,0
2021-12-26,298.06,0
2021-12-27,256.42,0
2021-12-28,246.92,0
2021-12-29,257.65,0
2021-12-30,285.45,0
2021-12-31,288.25,0
2022-01-01,269.04,0
2022-01-02,262.03,0
2022-01-03,220.7,0
2022-01-04,204.22,0
2022-01-05,168.75,0
2022-01-06,212.74,0
2022-01-07,212.19,0
2022-01-08,288.05,0
2022-01-09,249.07,0
2022-01-10,222.08,0
2022-01-11,194.12,0
2022-01-12,184.94,0
2022-01-13,212.74,0
2022-01-14,248.94,0
2022-01-15,262.7,0
2022-01-16,251.99,0
2022-01-17,252.9,0
2022-01-18,224.58,0
2022-01-19,228.5,0
2022-01-20,226.13,0
2022-01-21,276.39,0
2022-01-22,272.08,0
2022-01-23,224.87,0
2022-01-24,213.63,0
2022-01-25,229.42,0
2022-01-26,203.5,0
2022-01-27,216.21,0
2022-01-28,249.31,0
2022-01-29,303.06,0
2022-01-30,370.41,1
2022-01-31,232.03,0
2022-02-01,232.46,0
2022-02-02,223.48,0
2022-02-03,227.91,0
2022-02-04,248.09,0
2022-02-05,254.0,0
2022-02-06,270.0,0
2022-02-07,233.56,0
2022-02-08,247.81,0
2022-02-09,254.23,0
2022-02-10,255.2,0
2022-02-11,257.68,0
2022-02-12,288.39,0
2022-02-13,281.9,0
2022-02-14,273.71,0
2022-02-15,258.98,0
2022-02-16,254.63,0
2022-02-17,233.08,0
2022-02-18,266.73,0
2022-02-19,369.76,1
2022-02-20,265.65,0
2022-02-21,239.68,0
2022-02-22,242.65,0
2022-02-23,269.38,0
2022-02-24,241.29,0
2022-02-25,251.16,0
2022-02-26,402.13,1
2022-02-27,353.38,1
2022-02-28,313.93,1
2022-03-01,251.05,0
2022-03-02,249.41,0
2022-03-03,266.55,0
2022-03-04,272.88,0
2022-03-05,415.99,1
2022-03-06,308.5,0
2022-03-07,250.22,0
2022-03-08,236.5,0
2022-03-09,271.86,0
2022-03-10,279.88,0
2022-03-11,364.73,1
2022-03-12,296.05,0
2022-03-13,317.26,0
2022-03-14,242.99,0
2022-03-15,273.74,0
2022-03-16,257.02,0
2022-03-17,254.16,0
2022-03-18,306.15,0
2022-03-19,331.25,0
2022-03-20,305.57,0
2022-03-21,285.29,0
2022-03-22,270.99,0
2022-03-23,293.61,0
2022-03-24,284.35,0
2022-03-25,406.19,1
2022-03-26,329.6,0
2022-03-27,403.82,1
2022-03-28,289.39,0
2022-03-29,280.93,0
2022-03-30,251.88,0
2022-03-31,280.64,0
2022-04-01,316.37,0
2022-04-02,374.73,0
2022-04-03,306.76,0
2022-04-04,271.88,0
2022-04-05,311.34,0
2022-04-06,316.24,0
2022-04-07,285.9,0
2022-04-08,328.77,0
2022-04-09,368.68,0
2022-04-10,305.7,0
2022-04-11,273.85,0
2022-04-12,298.72,0
2022-04-13,327.33,0
2022-04-14,298.69,0
2022-04-15,347.88,0
2022-04-16,384.5,0
2022-04-17,380.22,0
2022-04-18,301.08,0
2022-04-19,310.59,0
2022-04-20,339.27,0
2022-04-21,290.2,0
2022-04-22,369.53,0
2022-04-23,359.91,0
2022-04-24,357.79,0
2022-04-25,313.66,0
2022-04-26,303.98,0
2022-04-27,304.63,0
2022-04-28,324.55,0
2022-04-29,376.35,0
2022-04-30,498.19,1
2022-05-01,364.46,0
2022-05-02,332.95,0
2022-05-03,310.78,0
2022-05-04,337.4,0
2022-05-05,339.54,0
2022-05-06,407.24,0
2022-05-07,383.46,0
2022-05-08,363.13,0
2022-05-09,342.43,0
2022-05-10,344.06,0
2022-05-11,324.62,0
2022-05-12,327.45,0
2022-05-13,382.45,0
2022-05-14,382.75,0
2022-05-15,369.81,0
2022-05-16,338.11,0
2022-05-17,352.49,0
2022-05-18,329.25,0
2022-05-19,311.43,0
2022-05-20,351.06,0
2022-05-21,381.64,0
2022-05-22,361.54,0
2022-05-23,339.61,0
2022-05-24,324.77,0
2022-05-25,332.72,0
2022-05-26,393.03,1
2022-05-27,377.93,0
2022-05-28,555.33,1
2022-05-29,395.67,0
2022-05-30,346.56,0
2022-05-31,339.97,0
2022-06-01,340.93,0
2022-06-02,352.88,0
2022-06-03,472.16,1
2022-06-04,395.36,0
2022-06-05,390.0,0
2022-06-06,319.44,0
2022-06-07,353.53,0
2022-06-08,362.22,0
2022-06-09,347.0,0
2022-06-10,418.84,0
2022-06-11,398.75,0
2022-06-12,395.59,0
2022-06-13,352.13,0
2022-06-14,351.48,0
2022-06-15,351.58,0
2022-06-16,355.19,0
2022-06-17,406.57,0
2022-06-18,434.77,0
2022-06-19,460.35,1
2022-06-20,366.79,0
2022-06-21,344.23,0
2022-06-22,366.43,0
2022-06-23,343.68,0
2022-06-24,411.62,0
2022-06-25,448.54,0
2022-06-26,393.67,0
2022-06-27,322.7,0
2022-06-28,347.45,0
2022-06-29,374.21,0
2022-06-30,364.07,0
2022-07-01,399.53,0
2022-07-02,430.93,0
2022-07-03,403.06,0
2022-07-04,374.03,0
2022-07-05,369.51,0
2022-07-06,378.48,0
2022-07-07,360.96,0
2022-07-08,409.06,0
2022-07-09,496.61,1
2022-07-10,386.22,0
2022-07-11,380.7,0
2022-07-12,358.18,0
2022-07-13,366.83,0
2022-07-14,356.42,0
2022-07-15,385.55,0
2022-07-16,414.29,0
2022-07-17,415.42,0
2022-07-18,361.95,0
2022-07-19,327.67,0
2022-07-20,349.83,0
2022-07-21,379.48,0
2022-07-22,449.14,1
2022-07-23,385.09,0
2022-07-24,420.14,0
2022-07-25,361.61,0
2022-07-26,349.95,0
2022-07-27,345.03,0
2022-07-28,366.43,0
2022-07-29,381.64,0
2022-07-30,426.56,0
2022-07-31,397.02,0
2022-08-01,352.09,0
2022-08-02,350.12,0
2022-08-03,344.83,0
2022-08-04,362.63,0
2022-08-05,373.45,0
2022-08-06,381.57,0
2022-08-07,394.58,0
2022-08-08,354.28,0
2022-08-09,351.45,0
2022-08-10,349.79,0
2022-08-11,338.27,0
2022-08-12,394.3,0
2022-08-13,478.4,1
2022-08-14,373.95,0
2022-08-15,335.95,0
2022-08-16,370.29,0
2022-08-17,313.31,0
2022-08-18,470.29,1
2022-08-19,352.82,0
2022-08-20,395.7,0
2022-08-21,370.14,0
2022-08-22,304.67,0
2022-08-23,341.08,0
2022-08-24,328.83,0
2022-08-25,302.32,0
2022-08-26,385.68,0
2022-08-27,413.87,0
2022-08-28,393.96,0
2022-08-29,336.24,0
2022-08-30,330.8,0
2022-08-31,349.27,0
2022-09-01,353.82,0
2022-09-02,384.81,0
2022-09-03,372.91,0
2022-09-04,369.27,0
2022-09-05,332.06,0
2022-09-06,297.53,0
2022-09-07,330.92,0
2022-09-08,357.18,0
2022-09-09,371.88,0
2022-09-10,403.57,0
2022-09-11,363.41,0
2022-09-12,369.65,1
2022-09-13,324.76,0
2022-09-14,305.99,0
2022-09-15,302.96,0
2022-09-16,375.59,0
2022-09-17,396.36,0
2022-09-18,340.09,0
2022-09-19,328.66,0
2022-09-20,312.01,0
2022-09-21,317.6,0
2022-09-22,318.58,0
2022-09-23,365.78,0
2022-09-24,371.29,0
2022-09-25,485.41,1
2022-09-26,313.06,0
2022-09-27,442.41,1
2022-09-28,294.3,0
2022-09-29,338.37,0
2022-09-30,352.23,0
2022-10-01,375.08,0
2022-10-02,319.47,0
2022-10-03,290.46,0
2022-10-04,320.58,0
2022-10-05,387.12,1
2022-10-06,271.74,0
2022-10-07,355.24,0
2022-10-08,350.74,0
2022-10-09,439.2,1
2022-10-10,296.06,0
2022-10-11,299.7,0
2022-10-12,423.53,1
2022-10-13,281.68,0
2022-10-14,319.52,0
2022-10-15,350.74,0
2022-10-16,345.38,0
2022-10-17,272.3,0
2022-10-18,266.54,0
2022-10-19,303.23,0
2022-10-20,281.14,0
2022-10-21,323.63,0
2022-10-22,321.0,0
2022-10-23,318.01,0
2022-10-24,287.43,0
2022-10-25,300.87,0
2022-10-26,274.72,0
2022-10-27,310.53,0
2022-10-28,314.8,0
2022-10-29,334.23,0
2022-10-30,346.95,0
2022-10-31,286.49,0
2022-11-01,324.48,0
2022-11-02,329.89,0
2022-11-03,351.98,0
2022-11-04,393.15,0
2022-11-05,378.4,0
2022-11-06,369.52,0
2022-11-07,331.02,0
2022-11-08,314.4,0
2022-11-09,327.9,0
2022-11-10,328.38,0
2022-11-11,384.97,0
2022-11-12,541.91,1
2022-11-13,362.11,0
2022-11-14,432.56,1
2022-11-15,336.25,0
2022-11-16,317.15,0
2022-11-17,334.42,0
2022-11-18,363.94,0
2022-11-19,370.41,0
2022-11-20,350.3,0
2022-11-21,346.07,0
2022-11-22,321.76,0
2022-11-23,348.46,0
2022-11-24,315.91,0
2022-11-25,367.77,0
2022-11-26,419.09,0
2022-11-27,347.15,0
2022-11-28,294.38,0
2022-11-29,341.99,0
2022-11-30,310.15,0
2022-12-01,322.13,0
2022-12-02,353.55,0
2022-12-03,386.27,0
2022-12-04,347.92,0
2022-12-05,319.43,0
2022-12-06,328.84,0
2022-12-07,306.96,0
2022-12-08,311.58,0
2022-12-09,356.89,0
2022-12-10,360.71,0
2022-12-11,355.85,0
2022-12-12,324.05,0
2022-12-13,316.36,0
2022-12-14,318.39,0
2022-12-15,322.29,0
2022-12-16,352.89,0
2022-12-17,393.25,0
2022-12-18,384.61,0
2022-12-19,316.3,0
2022-12-20,330.75,0
2022-12-21,320.11,0
2022-12-22,329.44,0
2022-12-23,387.71,0
2022-12-24,520.75,1
2022-12-25,338.21,0
2022-12-26,331.94,0
2022-12-27,400.31,1
2022-12-28,322.51,0
2022-12-29,466.09,1
2022-12-30,356.24,0
2022-12-31,364.72,0
2023-01-01,319.6,0
2023-01-02,292.53,1
2023-01-03,274.8,0
2023-01-04,298.19,0
2023-01-05,342.67,1
2023-01-06,300.71,0
2023-01-07,324.96,0
2023-01-08,320.04,0
2023-01-09,276.07,0
2023-01-10,303.13,0
2023-01-11,359.87,1
2023-01-12,290.79,0
2023-01-13,326.18,0
2023-01-14,487.13,1
2023-01-15,312.39,0
2023-01-16,298.86,0
2023-01-17,270.02,0
2023-01-18,299.95,0
2023-01-19,305.94,0
2023-01-20,332.06,0
2023-01-21,347.01,0
2023-01-22,336.44,0
2023-01-23,248.3,0
2023-01-24,296.57,0
2023-01-25,291.16,0
2023-01-26,292.93,0
2023-01-27,345.14,0
2023-01-28,354.29,0
2023-01-29,439.11,1
2023-01-30,295.06,0
2023-01-31,299.1,0
2023-02-01,300.73,0
2023-02-02,363.73,1
2023-02-03,356.47,0
2023-02-04,345.55,0
2023-02-05,403.42,1
2023-02-06,323.14,0
2023-02-07,325.75,1
2023-02-08,308.49,0
2023-02-09,298.03,0
2023-02-10,342.28,0
2023-02-11,355.31,0
2023-02-12,347.39,0
2023-02-13,338.62,0
2023-02-14,383.86,1
2023-02-15,295.61,0
2023-02-16,294.72,0
2023-02-17,381.26,0
2023-02-18,369.53,0
2023-02-19,357.2,0
2023-02-20,312.67,0
2023-02-21,305.69,0
2023-02-22,317.47,0
2023-02-23,359.03,0
2023-02-24,384.2,0
2023-02-25,371.69,0
2023-02-26,375.38,0
2023-02-27,314.38,0
2023-02-28,301.4,0
2023-03-01,344.53,0
2023-03-02,347.84,0
2023-03-03,387.34,0
2023-03-04,385.82,0
2023-03-05,491.32,1
2023-03-06,477.37,1
2023-03-07,342.41,0
2023-03-08,428.85,1
2023-03-09,314.73,0
2023-03-10,381.96,0
2023-03-11,417.68,0
2023-03-12,364.78,0
2023-03-13,353.58,0
2023-03-14,350.23,0
2023-03-15,357.76,0
2023-03-16,360.85,0
2023-03-17,378.61,0
2023-03-18,386.03,0
2023-03-19,383.55,0
2023-03-20,366.15,0
2023-03-21,345.94,0
2023-03-22,415.84,1
2023-03-23,414.97,1
2023-03-24,424.15,0
2023-03-25,431.51,0
2023-03-26,411.93,0
2023-03-27,376.16,0
2023-03-28,371.55,0
2023-03-29,360.49,0
2023-03-30,362.95,0
2023-03-31,400.25,0
2023-04-01,645.98,1
2023-04-02,417.49,0
2023-04-03,363.43,0
2023-04-04,378.61,0
2023-04-05,357.7,0
2023-04-06,463.28,1
2023-04-07,405.4,0
2023-04-08,444.05,0
2023-04-09,433.73,0
2023-04-10,384.72,0
2023-04-11,381.57,0
2023-04-12,381.51,0
2023-04-13,381.69,0
2023-04-14,415.07,0
2023-04-15,438.15,0
2023-04-16,448.26,0
2023-04-17,385.59,0
2023-04-18,376.59,0
2023-04-19,381.77,0
2023-04-20,407.16,0
2023-04-21,511.75,1
2023-04-22,461.3,0
2023-04-23,430.15,0
2023-04-24,403.71,0
2023-04-25,386.55,0
2023-04-26,393.38,0
2023-04-27,412.9,0
2023-04-28,452.52,0
2023-04-29,445.73,0
2023-04-30,428.66,0
2023-05-01,404.15,0
2023-05-02,429.43,0
2023-05-03,375.81,0
2023-05-04,409.71,0
2023-05-05,425.87,0
2023-05-06,457.96,0
2023-05-07,442.97,0
2023-05-08,403.07,0
2023-05-09,402.3,0
2023-05-10,411.33,0
2023-05-11,404.09,0
2023-05-12,431.07,0
2023-05-13,485.58,0
2023-05-14,466.04,0
2023-05-15,428.24,0
2023-05-16,393.32,0
2023-05-17,421.73,0
2023-05-18,428.19,0
2023-05-19,443.37,0
2023-05-20,479.75,0
2023-05-21,458.63,0
2023-05-22,565.4,1
2023-05-23,450.71,0
2023-05-24,397.59,0
2023-05-25,460.66,0
2023-05-26,450.2,0
2023-05-27,499.31,0
2023-05-28,479.8,0
2023-05-29,410.94,0
2023-05-30,433.89,0
2023-05-31,425.48,0
2023-06-01,435.99,0
2023-06-02,471.7,0
2023-06-03,506.74,0
2023-06-04,470.46,0
2023-06-05,427.32,0
2023-06-06,446.78,0
2023-06-07,439.53,0
2023-06-08,442.26,0
2023-06-09,461.76,0
2023-06-10,476.48,0
2023-06-11,464.06,0
2023-06-12,423.66,0
2023-06-13,445.14,0
2023-06-14,448.35,0
2023-06-15,431.72,0
2023-06-16,495.84,0
2023-06-17,515.21,0
2023-06-18,478.62,0
2023-06-19,422.92,0
2023-06-20,459.13,0
2023-06-21,434.82,0
2023-06-22,596.43,1
2023-06-23,471.06,0
2023-06-24,482.99,0
2023-06-25,454.48,0
2023-06-26,446.15,0
2023-06-27,425.03,0
2023-06-28,482.79,0
2023-06-29,420.7,0
2023-06-30,458.21,0
2023-07-01,504.79,0
2023-07-02,500.12,0
2023-07-03,438.17,0
2023-07-04,445.8,0
2023-07-05,409.55,0
2023-07-06,561.53,1
2023-07-07,461.03,0
2023-07-08,468.65,0
2023-07-09,478.76,0
2023-07-10,403.27,0
2023-07-11,416.97,0
2023-07-12,428.62,0
2023-07-13,424.07,0
2023-07-14,482.32,0
2023-07-15,500.79,0
2023-07-16,489.42,0
2023-07-17,447.09,0
2023-07-18,452.69,0
2023-07-19,435.31,0
2023-07-20,439.64,0
2023-07-21,482.49,0
2023-07-22,496.66,0
2023-07-23,468.28,0
2023-07-24,428.94,0
2023-07-25,421.33,0
2023-07-26,439.57,0
2023-07-27,431.48,0
2023-07-28,462.57,0
2023-07-29,482.2,0
2023-07-30,453.58,0
2023-07-31,446.0,0
2023-08-01,432.07,0
2023-08-02,417.51,0
2023-08-03,442.12,0
2023-08-04,461.12,0
2023-08-05,467.95,0
2023-08-06,483.88,0
2023-08-07,420.0,0
2023-08-08,421.4,0
2023-08-09,427.63,0
2023-08-10,443.61,0
2023-08-11,466.22,0
2023-08-12,467.37,0
2023-08-13,472.94,0
2023-08-14,416.93,0
2023-08-15,451.93,0
2023-08-16,422.99,0
2023-08-17,388.87,0
2023-08-18,467.13,0
2023-08-19,510.3,0
2023-08-20,484.13,0
2023-08-21,447.31,0
2023-08-22,403.89,0
2023-08-23,432.2,0
2023-08-24,407.01,0
2023-08-25,460.52,0
2023-08-26,457.37,0
2023-08-27,446.1,0
2023-08-28,404.92,0
2023-08-29,427.83,0
2023-08-30,592.66,1
2023-08-31,417.06,0
2023-09-01,431.93,0
2023-09-02,466.77,0
2023-09-03,439.52,0
2023-09-04,423.01,0
2023-09-05,426.89,0
2023-09-06,424.3,0
2023-09-07,396.37,0
2023-09-08,405.85,0
2023-09-09,439.67,0
2023-09-10,466.73,0
2023-09-11,398.62,0
2023-09-12,392.6,0
2023-09-13,427.72,0
2023-09-14,421.28,0
2023-09-15,584.73,1
2023-09-16,456.35,0
2023-09-17,437.98,0
2023-09-18,402.59,0
2023-09-19,422.4,0
2023-09-20,403.95,0
2023-09-21,407.72,0
2023-09-22,453.59,0
2023-09-23,437.72,0
2023-09-24,445.81,0
2023-09-25,480.29,1
2023-09-26,355.19,0
2023-09-27,360.24,0
